season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2006,10,indianapolis,True,False,False,False,False,michael_schumacher,German,ferrari,1,1,59,2,2,87,2,2,0.0,37
2006,10,indianapolis,True,False,False,False,False,massa,Brazilian,ferrari,2,2,28,0,5,87,2,2,0.603,25
2006,10,indianapolis,True,False,False,False,False,fisichella,Italian,renault,3,3,37,1,4,121,7,1,1.088,33
2006,10,indianapolis,True,False,False,False,False,barrichello,Brazilian,honda,4,6,13,0,8,29,0,4,1.277,34
2006,10,indianapolis,True,False,False,False,False,alonso,Spanish,renault,5,5,84,6,1,121,7,1,1.617,24
2006,10,indianapolis,True,False,False,False,False,villeneuve,Canadian,bmw_sauber,6,12,7,0,12,19,0,5,1.647,35
2006,10,indianapolis,True,False,False,False,False,button,British,honda,7,15,16,0,7,29,0,4,1.691,26
2006,10,indianapolis,True,False,False,False,False,ralf_schumacher,German,toyota,8,10,8,0,10,11,0,6,1.963,31
2006,10,indianapolis,True,False,False,False,False,raikkonen,Finnish,mclaren,9,16,39,0,3,65,0,3,2.342,26
2006,10,indianapolis,True,False,False,False,False,heidfeld,German,bmw_sauber,10,17,12,0,9,19,0,5,4.448,29
2006,10,indianapolis,True,False,False,False,False,montoya,Colombian,mclaren,11,18,26,0,6,65,0,3,1.318,30
2006,10,indianapolis,True,False,False,False,False,webber,Australian,williams,12,19,6,0,13,10,0,7,1.46,29
2006,10,indianapolis,True,False,False,False,False,speed,American,toro_rosso,13,20,0,0,17,0,0,9,1.96,23
2006,10,indianapolis,True,False,False,False,False,albers,Dutch,mf1,14,11,0,0,19,0,0,10,2.022,27
2006,10,indianapolis,True,False,False,False,False,monteiro,Portuguese,mf1,15,13,0,0,20,0,0,10,2.032,29
2006,10,indianapolis,True,False,False,False,False,klien,Austrian,red_bull,16,21,1,0,16,9,0,8,2.093,23
2006,10,indianapolis,True,False,False,False,False,coulthard,British,red_bull,17,7,8,0,11,9,0,8,2.348,35
2006,10,indianapolis,True,False,False,False,False,sato,Japanese,super_aguri,18,14,0,0,21,0,0,11,2.664,29
2006,10,indianapolis,True,False,False,False,False,montagny,French,super_aguri,19,22,0,0,23,0,0,11,5.204,28
2006,10,indianapolis,True,False,False,False,False,liuzzi,Italian,toro_rosso,20,8,0,0,18,0,0,9,3.209,25
